City;Area;Region;Branch;Branch Mapping;Validation
KOTA TANGERANG SELATAN;AREA 2;05.WESTERN JABOTABEK;TANGERANG;TANGERANG;TRUE
KOTA TANJUNG BALAI;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
KOTA TANJUNG PINANG;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
KOTA TARAKAN;AREA 4;11.KALIMANTAN;TARAKAN;TARAKAN;TRUE
KOTA TASIKMALAYA;AREA 2;07.JABAR;TASIKMALAYA;TASIKMALAYA;TRUE
KOTA TEBING TINGGI;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
KOTA TEGAL;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
KOTA TERNATE;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KOTA TIDORE KEPULAUAN;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KOTA TOMOHON;AREA 4;12.SULAWESI;MANADO;MANADO;TRUE
KOTA TUAL;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
KOTA WARINGIN BARAT;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
KOTA WARINGIN TIMUR;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
KOTA YOGYAKARTA;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
KOTAMOBAGU;AREA 4;12.SULAWESI;GORONTALO;#N/A;#N/A
KUANTAN SINGINGI;AREA 1;02.SUMBAGTENG;PEKANBARU;PEKANBARU;TRUE
KUBU RAYA;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
KUDUS;AREA 3;08.JATENG-DIY;SEMARANG;SEMARANG;TRUE
KULON PROGO;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
KUNINGAN;AREA 2;07.JABAR;CIREBON;CIREBON;TRUE
KUPANG;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
KUTAI BARAT;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
KUTAI KARTANEGARA;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
KUTAI TIMUR;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
LABUHAN BATU;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
LABUHAN BATU;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PADANG SIDEMPUAN;FALSE
LABUHAN BATU SELATAN;AREA 1;01.SUMBAGUT;PADANG SIDEMPUAN;PADANG SIDEMPUAN;TRUE
LABUHAN BATU UTARA;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
LAHAT;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
LAMANDAU;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
LAMONGAN;AREA 3;09.JATIM;LAMONGAN;LAMONGAN;TRUE
LAMPUNG BARAT;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
LAMPUNG SELATAN;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
LAMPUNG TENGAH;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
LAMPUNG TIMUR;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
LAMPUNG UTARA;AREA 1;03.SUMBAGSEL;LAMPUNG;LAMPUNG;TRUE
LANDAK;AREA 4;11.KALIMANTAN;PONTIANAK;PONTIANAK;TRUE
LANGKAT;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
LEBAK;AREA 2;05.WESTERN JABOTABEK;SERANG;SERANG;TRUE
LEBONG;AREA 1;03.SUMBAGSEL;BENGKULU;BENGKULU;TRUE
LEMBATA;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
LIMA PULUH KOTA;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
LINGGA;AREA 1;02.SUMBAGTENG;BATAM;BATAM;TRUE
LOMBOK BARAT;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
LOMBOK TENGAH;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
LOMBOK TIMUR;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
LOMBOK UTARA;AREA 3;10.BALI NUSRA;MATARAM;MATARAM;TRUE
LUMAJANG;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
LUWU;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
LUWU TIMUR;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
LUWU UTARA;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
MADIUN;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
MAGELANG;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
MAGETAN;AREA 3;08.JATENG-DIY;SURAKARTA;MADIUN;FALSE
MAGETAN;AREA 3;09.JATIM;MADIUN;MADIUN;TRUE
MAHAKAM ULU;AREA 4;11.KALIMANTAN;SAMARINDA;SAMARINDA;TRUE
MAJALENGKA;AREA 2;07.JABAR;CIREBON;CIREBON;TRUE
MAJENE;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
MALAKA;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
MALANG;AREA 3;09.JATIM;MALANG;MALANG;TRUE
MALANGJIWAN;AREA 3;08.JATENG-DIY;SRAGEN;#N/A;#N/A
MALINAU;AREA 4;11.KALIMANTAN;TARAKAN;TARAKAN;TRUE
MALUKU BARAT DAYA;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
MALUKU TENGAH;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
MALUKU TENGGARA;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
MALUKU TENGGARA BARAT;AREA 4;13.MALUKU DAN PAPUA;AMBON;AMBON;TRUE
MAMASA;AREA 4;12.SULAWESI;PARE-PARE;PARE-PARE;TRUE
MAMUJU;AREA 4;12.SULAWESI;PALU;PALU;TRUE
MAMUJU TENGAH;AREA 4;12.SULAWESI;PALU;PALU;TRUE
MAMUJU UTARA;AREA 4;12.SULAWESI;PALU;PALU;TRUE
